"Techstack","Links"
"React, Node.js, MongoDB","https://portfolio-project-mocha.vercel.app/"
"Python, Django, MySQL","https://portfolio-project-mocha.vercel.app/"
"Java, Spring Boot, Oracle","https://portfolio-project-mocha.vercel.app/"
"Mail-id","mailto:khandelwaltushar2002@gmail.com"
"git-id","https://github.com/Tushar-022"
"linkedin profile","https://www.linkedin.com/in/tushar-khandelwal-58522722b//"
"FullStack","https://leetcode-lite-delta.vercel.app/"
"Flutter","https://github.com/Tushar-022/EcommerceStore"
"FullStack,AI/ML,Firebase","https://github.com/Tushar-022/vcsHackon"
"DSA","https://leetcode.com/tushar05NITJ/"
"DSA","https://auth.geeksforgeeks.org/user/khandelwaltushar2002"
"cv","https://drive.google.com/file/d/1_FSLJ3F3dLoG5wubVwDC1jwAd9Hu6PoG/view"
